                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     68,                0.01708,                0.01232,              0.0026523,             0.00066044,                0.84526,                 0.9203,                0.93865,                0.65404,                0.84803,                0.92303,                0.93922,                 0.6384,               0.014911,               0.012186,              0.0043819,             0.00086823,               0.003367,               0.003367,               0.003367
                     69,               0.017205,               0.012325,              0.0026398,             0.00054943,                0.90135,                0.89957,                0.94577,                0.65125,                0.90478,                0.90214,                0.94673,                0.63942,               0.015202,               0.012311,              0.0043613,              0.0010589,               0.003268,               0.003268,               0.003268
                     70,               0.016571,               0.012334,              0.0026394,             0.00094131,                0.87576,                0.91802,                0.94719,                0.66165,                0.88001,                 0.9238,                0.95151,                 0.6429,               0.014698,               0.012213,              0.0043224,             0.00085238,               0.003169,               0.003169,               0.003169
                     71,               0.016555,               0.012149,               0.002606,             0.00066443,                0.87955,                0.90534,                0.94226,                0.66735,                0.88252,                0.90842,                0.94513,                0.64898,               0.014665,               0.012111,              0.0043207,             0.00063428,                0.00307,                0.00307,                0.00307
                     72,               0.016143,               0.012136,              0.0025815,             0.00058644,                0.88514,                0.91907,                 0.9529,                0.66122,                0.89128,                0.92552,                0.95643,                0.64717,               0.014711,               0.012226,              0.0043353,             0.00092394,               0.002971,               0.002971,               0.002971
                     73,               0.015975,                0.01198,               0.002558,             0.00058024,                0.90506,                0.90663,                0.95296,                0.66114,                0.90697,                0.90392,                 0.9469,                0.64879,                 0.0147,               0.012066,              0.0043523,             0.00077861,               0.002872,               0.002872,               0.002872
                     74,               0.016109,                0.01201,              0.0025512,             0.00048582,                0.90048,                0.89637,                0.95054,                0.66847,                0.90222,                0.90319,                 0.9525,                0.65214,               0.014763,               0.012107,              0.0043422,             0.00062417,               0.002773,               0.002773,               0.002773
                     75,               0.015824,                0.01199,              0.0025346,             0.00057783,                0.89065,                0.90657,                0.95297,                0.67067,                0.89485,                0.91333,                 0.9524,                0.65071,               0.014742,               0.012114,              0.0042959,             0.00073928,               0.002674,               0.002674,               0.002674
                     76,               0.016001,               0.011885,              0.0025134,             0.00059996,                0.86376,                0.91341,                0.94965,                0.66863,                0.91475,                0.87219,                0.94636,                0.65028,               0.014742,               0.012231,              0.0043452,             0.00070196,               0.002575,               0.002575,               0.002575
                     77,               0.015566,               0.011906,              0.0025263,              0.0004854,                0.91449,                0.89444,                0.95414,                0.66746,                0.91828,                0.90034,                0.95737,                0.64926,                0.01455,                0.01216,              0.0042868,             0.00068292,               0.002476,               0.002476,               0.002476
